AlertID,County,EndRoadwayLocation,EndTime,EventCategory,EventStatus,ExtendedDescription,HeadlineDescription,LastUpdatedTime,Priority,Region,StartRoadwayLocation,StartTime,timestamp,ta_id
625012,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.321252974, ""Longitude"": -124.461801876, ""MilePost"": 5.6, ""RoadName"": ""112""}",/Date(1740783600000-0800)/,Construction,Open,,Around-the-clock alternating one-way traffic and a reduced speed limit of 25 mph in in place on SR 112 at milepost 5.5 until further notice.,/Date(1732319764840-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.321707016, ""Longitude"": -124.463835266, ""MilePost"": 5.5, ""RoadName"": ""112""}",/Date(1732319520000-0800)/,2025-02-03 22:21:17.828031,2
565164,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.0004048, ""Longitude"": -123.405193108, ""MilePost"": 20.09, ""RoadName"": ""012""}",/Date(1767208860000-0800)/,Construction,Open,,"US 12 is reduced to one lane in each direction between South 3rd Street and Schouweiler Road near Elma with both lanes on the eastbound side of the highway. The speed limit is reduced to 50 mph for a <a href=""https://wsdot.wa.gov/construction-planning/search-projects/us-12-sr-8-grays-harbor-county-fish-passage-barriers-remove-fish-barriers"">fish barrier removal project</a>.",/Date(1729024454560-0700)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.995549394, ""Longitude"": -123.439327137, ""MilePost"": 18.41, ""RoadName"": ""012""}",/Date(1694197260000-0700)/,2025-02-03 22:21:17.828031,2
626170,Spokane,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.633655685, ""Longitude"": -117.480536912, ""MilePost"": 283.17, ""RoadName"": ""002""}",,Road Report,Open,,"US2 from Davenport to I-90, road conditions are:  bare and dry.",/Date(1738642117673-0800)/,Low,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.653668958, ""Longitude"": -118.162197575, ""MilePost"": 250.54, ""RoadName"": ""002""}",/Date(1738642080000-0800)/,2025-02-03 22:21:17.828031,2
632810,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.818368146, ""Longitude"": -122.138201238, ""MilePost"": 2.54, ""RoadName"": ""009""}",/Date(1738101600000-0800)/,Maintenance,Open,,"Daily from 7 a.m. to 2 p.m. Monday, Jan. 27 and Tuesday, Jan. 28, SnoPUD crews will close the right lane of northbound State Route 9/Woodinville Snohomish Road in Snohomish between 201st Street Southeast (milepost 2) and 197th Street Southeast (milepost 3) for tree trimming.",/Date(1737747904767-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.814505964, ""Longitude"": -122.140065342, ""MilePost"": 2.26, ""RoadName"": ""009""}",/Date(1737747660000-0800)/,2025-02-03 22:21:17.828031,2
626158,Lincoln,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.433126691, ""Longitude"": -117.793785086, ""MilePost"": 257.42, ""RoadName"": ""090""}",,Road Report,Open,,"I-90 from Ritzville to SR 904, road conditions: bare and wet.",/Date(1738642907110-0800)/,Low,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.111077833, ""Longitude"": -118.403449311, ""MilePost"": 220.1, ""RoadName"": ""090""}",/Date(1738642860000-0800)/,2025-02-03 22:21:17.828031,2
599536,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.726541279, ""Longitude"": -122.976950025, ""MilePost"": 82.7, ""RoadName"": ""005""}",,Construction,Open,,"Beginning Monday, June 3, and continuing until further notice: Travelers in both directions of I-5 between 13th Street (milepost 76) and Harrison Avenue (milepost 82) will encounter shoulder closures and slight delays along the following on-ramps: 

Northbound I-5 ramp meter locations
Exit 76 – 13th Street 
Exit 77 – State Route 6
Exit 79 – Chamber Way

Southbound I-5 ramp meter locations
Exit 77 – SR 6 
Exit 79 – Chamber Way
Exit 81 - SR 507 Mellen Street
Exit 82 - Harrison Avenue",/Date(1717186811373-0700)/,Medium,Southwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.642995293, ""Longitude"": -122.953081815, ""MilePost"": 76.2, ""RoadName"": ""005""}",/Date(1717408800000-0700)/,2025-02-03 22:21:17.828031,2
632784,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.391512313, ""Longitude"": -122.291071001, ""MilePost"": 149.18, ""RoadName"": ""005""}",/Date(1738332300000-0800)/,Construction,Open,,"Monday, Jan. 27 to the morning of Friday, Jan. 31 - Up to four lanes of southbound I-5 between South 200th Street and SR 516 will close nightly from 11:30 p.m. to 6 a.m. for construction work.",/Date(1737738546453-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.421505105, ""Longitude"": -122.286092402, ""MilePost"": 151.28, ""RoadName"": ""005""}",/Date(1737738600000-0800)/,2025-02-03 22:21:17.828031,2
634680,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.828484395, ""Longitude"": -122.209123254, ""MilePost"": 5.06, ""RoadName"": ""527""}",/Date(1739019600000-0800)/,Maintenance,Open,,"Nightly from 9 p.m. to 5 a.m. Sunday, Feb. 2 to Saturday morning, Feb. 8, crews will close the right two lanes of northbound State Route 527/Bothell Everett Highway in Bothell for roadwork. Crews will also shift the lanes.",/Date(1738595908257-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.827070016, ""Longitude"": -122.208697661, ""MilePost"": 4.96, ""RoadName"": ""527""}",/Date(1738593780000-0800)/,2025-02-03 22:21:17.828031,2
580194,,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.579097513, ""Longitude"": -122.190627037, ""MilePost"": 9.14, ""RoadName"": ""090""}",,Maintenance,Open,,"Starting Sunday, March 17 on eastbound I-90 from East Mercer Way to Bellevue Way Southeast, a temporary lane-shift is in-place with a reduced speed limit to 45 mph due to a failing expansion joint until further notice.",/Date(1711056005240-0700)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.577869379, ""Longitude"": -122.207390078, ""MilePost"": 8.35, ""RoadName"": ""090""}",/Date(1705557600000-0800)/,2025-02-03 22:21:17.828031,2
633999,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.483958118, ""Longitude"": -122.196426083, ""MilePost"": 4.0, ""RoadName"": ""405""}",/Date(1738065600000-0800)/,Construction,Open,,"Up to three lanes of northbound I-405 from the northbound I-5 off-ramp (milepost 0.48) and the SR 169 off-ramp (milepost 4) will be closed overnight, 11:59 p.m. Monday, Jan. 27 – 4 a.m. Tuesday, Jan. 28.",/Date(1737996364673-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.461846593, ""Longitude"": -122.255208143, ""MilePost"": 0.48, ""RoadName"": ""405""}",/Date(1737964800000-0800)/,2025-02-03 22:21:17.828031,2
