AverageTime,CurrentTime,Description,Distance,EndPoint,Name,StartPoint,TimeUpdated,TravelTimeID,timestamp
12,12,Downtown Seattle to SeaTac using HOV lanes,13.03,"{'Description': 'I-5 @ S 188th St in SeaTac', 'Direction': 'S', 'Latitude': 47.43876, 'Longitude': -122.26947, 'MilePost': 152.8, 'RoadName': '005'}",Seattle-SeaTac HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,42,2025-01-29 21:47:52.451024
12,12,SeaTac to Downtown Seattle,13.03,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",SeaTac-Seattle,"{'Description': 'I-5 @ S 188th St in SeaTac', 'Direction': 'N', 'Latitude': 47.43876, 'Longitude': -122.26947, 'MilePost': 152.8, 'RoadName': '005'}",/Date(1738215900000-0800)/,43,2025-01-29 21:47:52.451024
12,12,Downtown Seattle to SeaTac,13.03,"{'Description': 'I-5 @ S 188th St in SeaTac', 'Direction': 'S', 'Latitude': 47.43876, 'Longitude': -122.26947, 'MilePost': 152.8, 'RoadName': '005'}",Seattle-SeaTac,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1738215900000-0800)/,44,2025-01-29 21:47:52.451024
28,28,Alderwood to Southcenter via I-405,29.95,"{'Description': 'I-405 @ I-5 in Tukwila', 'Direction': 'S', 'Latitude': 47.463303, 'Longitude': -122.262701, 'MilePost': 0.11, 'RoadName': '405'}",Alderwood-Southcenter via 405,"{'Description': 'I-405 @ SR 525 in Lynnwood', 'Direction': 'S', 'Latitude': 47.8308, 'Longitude': -122.2636, 'MilePost': 30.06, 'RoadName': '405'}",/Date(1738215900000-0800)/,51,2025-01-29 21:47:52.451024
26,26,Alderwood to Southcenter via I-5,27.97,"{'Description': 'I-5 @ I-405 in Tukwila', 'Direction': 'S', 'Latitude': 47.4648, 'Longitude': -122.2657, 'MilePost': 154.65, 'RoadName': '005'}",Alderwood-Southcenter via 5,"{'Description': 'I-5 @ I-405 in Lynnwood', 'Direction': 'S', 'Latitude': 47.8308, 'Longitude': -122.2636, 'MilePost': 182.62, 'RoadName': '005'}",/Date(1738215900000-0800)/,52,2025-01-29 21:47:52.451024
27,27,Southcenter to Alderwood via I-405,29.62,"{'Description': 'I-5 @ I-405 in Lynnwood', 'Direction': 'N', 'Latitude': 47.8308, 'Longitude': -122.2636, 'MilePost': 30.06, 'RoadName': '405'}",Southcenter-Alderwood via 405,"{'Description': 'I-405 @ I-5 in Tukwila', 'Direction': 'N', 'Latitude': 47.4648, 'Longitude': -122.2657, 'MilePost': 0.44, 'RoadName': '405'}",/Date(1738215900000-0800)/,53,2025-01-29 21:47:52.451024
25,25,I-5 NB from I-5 @ I-405 in Tukwila (MP 155) to I-5 @ I-405 in L,27.39,"{'Description': 'I-5 @ I-405 in Lynnwood', 'Direction': 'N', 'Latitude': 47.8308, 'Longitude': -122.2636, 'MilePost': 182.04, 'RoadName': '005'}",Southcenter-Alderwood via 5,"{'Description': 'I-5 @ I-405 in Tukwila', 'Direction': 'N', 'Latitude': 47.4648, 'Longitude': -122.2657, 'MilePost': 154.65, 'RoadName': '005'}",/Date(1738215900000-0800)/,54,2025-01-29 21:47:52.451024
9,9,Downtown Bellevue to SR 522 in Bothell using HOV lanes,9.41,"{'Description': 'I-405 @ SR 522 in Bothell', 'Direction': 'N', 'Latitude': 47.751518, 'Longitude': -122.187178, 'MilePost': 23.01, 'RoadName': '405'}",Bellevue-SR 522 HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1738215900000-0800)/,56,2025-01-29 21:47:52.451024
9,9,SR 522 in Bothell to Downtown Bellevue using HOV lanes,9.68,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",SR 522-Bellevue HOV,"{'Description': 'I-405 @ SR 522 in Bothell', 'Direction': 'S', 'Latitude': 47.751518, 'Longitude': -122.187178, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1738215900000-0800)/,57,2025-01-29 21:47:52.451024
9,9,SR 522 in Bothell to Downtown Bellevue,9.68,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",SR 522-Bellevue,"{'Description': 'I-405 @ SR 522 in Bothell', 'Direction': 'S', 'Latitude': 47.751518, 'Longitude': -122.187178, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1738215900000-0800)/,58,2025-01-29 21:47:52.451024
