station_id,barometric_pressure,latitude,longitude,loc_key,percipitation,reading_time,humidity,sky_coverage,raw_roadname,road_key,mp,temp,visibility,wind_direction,wind_gust_speed,avg_wind_speed,updated,last_refresh
2282,992.2,45.6981,-120.815,3c3d5731eb0f47d706896eab6af111ed,UNKNOWN,"2025-02-15 01:06:21",70,N/A,"US 97",US-97,2.28,39.2,1,SW,18,13,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2686,851.8,48.0284,-117.598,373289006250d4417592e37327674965,UNKNOWN,"2025-02-15 01:09:22",81,N/A,"US 395",US-395,188.10,25.88,0,E,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2688,NULL,47.7773,-117.544,345a63eb511095444189ef9476841962,UNKNOWN,"2025-02-15 01:04:26",87,N/A,"SR 291",SR-291,9.20,28.4,0,N/A,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2689,NULL,47.7871,-117.407,1a5e5da0a3335bea2ada3b1c7e62c64c,UNKNOWN,"2025-02-15 01:07:19",83,N/A,"US 395",US-395,US,27.68,1,N/A,3,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2690,NULL,47.4384,-117.788,63ea6880468ced64850d3ac3aa2c2a46,UNKNOWN,"2025-02-15 01:08:18",99,N/A,I-90,I-90,257.90,23.54,0,S,5,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2693,NULL,47.6371,-117.474,2b786948e4df920164949e5b739309ab,UNKNOWN,"2025-02-15 01:03:50",96,N/A,I-90,I-90,278.20,24.98,0,ESE,4,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2694,NULL,47.5937,-117.562,147307ceb2ffe2d0e030f6119aa0f6c8,UNKNOWN,"2025-02-15 01:03:52",96,N/A,I-90,I-90,273.00,23.54,0,SSW,7,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2695,NULL,47.6703,-117.111,dcd6ed72d511e5d4d5ec27ca1e7c48ee,UNKNOWN,"2025-02-15 01:03:55",85,N/A,I-90,I-90,296.00,24.44,1,SW,8,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2696,NULL,47.1095,-118.395,e5a0c4b76c9f4af31cf9d66e036e3bb8,UNKNOWN,"2025-02-15 01:08:53",90,N/A,I-90,I-90,UNKNOWN,23.54,0,SW,8,5,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2701,1018.4,49,-122.735,cb47b9882ba1a1c45a8245eb7c79db4a,UNKNOWN,"2025-02-15 01:00:22",74,N/A,"SR 543",SR-543,0.12,40.46,1,ESE,6,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2789,994.8,46.346,-123.51,c16ab0639457bc46f805a3901f8e2a61,UNKNOWN,"2025-02-15 01:06:42",100,N/A,"SR 4",SR-4,22.20,36.5,0,SE,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2901,NULL,46.7137,-120.414,d8b73b5ffbd0455b90a0703063cf4768,UNKNOWN,"2025-02-15 01:00:27",69,N/A,I-82,I-82,22.27,30.2,NULL,N/A,2,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2902,NULL,46.5173,-117.081,29284f656482993e563445487f6cf13b,UNKNOWN,"2025-02-15 00:57:34",84,N/A,"US 195",US-195,3.66,22.46,1,N/A,5,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2903,NULL,47.4492,-117.385,1971afe2bb7eac6c8ade25c5aafe9a20,UNKNOWN,"2025-02-15 00:57:39",81,N/A,"US 195",US-195,81.60,22.1,0,SSW,7,6,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2904,NULL,47.7565,-122.894,36bb838b69702fcf0141c2298ce4b9bf,UNKNOWN,"2025-02-15 01:03:00",87,N/A,"US 101",US-101,301.54,36.5,1,N/A,1,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2955,NULL,47.3933,-121.473,76c69b7de71e6aeae03cbef55a202b20,UNKNOWN,"2025-02-15 01:09:15",94,N/A,I-90,I-90,47.55,30.56,1,SSW,2,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2956,NULL,47.5358,-124.333,59950f729fe4ffa2e9b3dda8c2e809ba,UNKNOWN,"2025-02-15 01:03:05",95,N/A,"US 101",US-101,152.52,38.12,1,S,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2957,NULL,47.0849,-123.033,f5fba47817ec1ac1bff529f02f798bc3,UNKNOWN,"2025-02-15 01:05:33",93,N/A,"US 101",US-101,359.05,39.38,1,S,4,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
